Date,Open,High,Low,Close*,Adj Close**,Volume
"May 25, 2023",26329.46,26591.52,25890.59,26476.21,26476.21,13851122697
"May 24, 2023",27224.60,27224.60,26106.58,26334.82,26334.82,16299104428
"May 23, 2023",26855.96,27434.68,26816.18,27225.73,27225.73,13697203143
"May 22, 2023",26749.89,27045.73,26549.73,26851.28,26851.28,11056770492
"May 21, 2023",27118.42,27265.92,26706.92,26753.83,26753.83,8647416921
"May 20, 2023",26888.84,27155.16,26843.28,27129.59,27129.59,7044911360
"May 19, 2023",26826.75,27128.62,26700.21,26890.13,26890.13,11258983301
"May 18, 2023",27401.65,27466.53,26415.10,26832.21,26832.21,15222938600
"May 17, 2023",27035.47,27465.93,26600.14,27398.80,27398.80,15140006925
"May 16, 2023",27171.51,27299.30,26878.95,27036.65,27036.65,12732238816
"May 15, 2023",26931.38,27646.35,26766.10,27192.69,27192.69,14413231792
"May 14, 2023",26788.97,27150.98,26661.36,26930.64,26930.64,10014858959
"May 13, 2023",26807.77,27030.48,26710.87,26784.08,26784.08,9999171605
"May 12, 2023",26987.66,27055.65,25878.43,26804.99,26804.99,19313599897
"May 11, 2023",27621.09,27621.94,26781.83,27000.79,27000.79,16724343943
"May 10, 2023",27654.64,28322.69,26883.67,27621.76,27621.76,20656025026
"May 09, 2023",27695.07,27821.40,27375.60,27658.78,27658.78,14128593256
"May 08, 2023",28450.46,28663.27,27310.13,27694.27,27694.27,19122903752
"May 07, 2023",28901.62,29157.52,28441.37,28454.98,28454.98,11301355486
"May 06, 2023",29538.86,29820.13,28468.97,28904.62,28904.62,15913866714
"May 05, 2023",28851.48,29668.91,28845.51,29534.38,29534.38,17936566518
"May 04, 2023",29031.30,29353.19,28694.04,28847.71,28847.71,15548678514
"May 03, 2023",28680.49,29259.53,28178.39,29006.31,29006.31,19122972518
"May 02, 2023",28087.18,28881.30,27924.12,28680.54,28680.54,16432924527
"May 01, 2023",29227.10,29329.94,27680.79,28091.57,28091.57,18655599976
"Apr 30, 2023",29245.52,29952.03,29114.02,29268.81,29268.81,14652199272
"Apr 29, 2023",29336.57,29452.46,29088.04,29248.49,29248.49,10662634333
"Apr 28, 2023",29481.01,29572.79,28929.61,29340.26,29340.26,17544464887
"Apr 27, 2023",28428.46,29871.55,28402.89,29473.79,29473.79,27153445027
"Apr 26, 2023",28300.06,29995.84,27324.55,28422.70,28422.70,31854242019
"Apr 25, 2023",27514.87,28371.08,27207.93,28307.60,28307.60,17733373139
"Apr 24, 2023",27591.73,27979.98,27070.85,27525.34,27525.34,17703288330
"Apr 23, 2023",27816.14,27820.24,27400.31,27591.38,27591.38,12785446832
"Apr 22, 2023",27265.89,27872.14,27169.57,27817.50,27817.50,13125734602
"Apr 21, 2023",28249.23,28349.97,27177.37,27276.91,27276.91,20759504330
"Apr 20, 2023",28823.68,29076.40,28037.26,28245.99,28245.99,21340360360
"Apr 19, 2023",30394.19,30411.05,28669.90,28822.68,28822.68,24571565421
"Apr 18, 2023",29449.09,30470.30,29154.85,30397.55,30397.55,19480529496
"Apr 17, 2023",30317.15,30319.20,29275.37,29445.04,29445.04,17872186762
"Apr 16, 2023",30315.98,30555.54,30157.83,30315.36,30315.36,12854816417
"Apr 15, 2023",30490.75,30601.74,30245.88,30318.50,30318.50,11940685378
"Apr 14, 2023",30409.56,31005.61,30044.50,30485.70,30485.70,22659995079
"Apr 13, 2023",29892.74,30539.85,29878.62,30399.07,30399.07,17487721001
"Apr 12, 2023",30231.58,30462.48,29725.57,30139.05,30139.05,18651929926
"Apr 11, 2023",29653.68,30509.08,29609.30,30235.06,30235.06,20121259843
"Apr 10, 2023",28336.03,29771.46,28189.27,29652.98,29652.98,19282400094
"Apr 09, 2023",27952.37,28532.83,27828.48,28333.05,28333.05,12175322951
"Apr 08, 2023",27920.51,28159.86,27883.39,27947.79,27947.79,9373255556
"Apr 07, 2023",28038.97,28111.59,27794.03,27925.86,27925.86,10861680497
"Apr 06, 2023",28175.23,28178.38,27738.76,28044.14,28044.14,13837809380
"Apr 05, 2023",28169.73,28739.24,27843.76,28177.98,28177.98,17052315986
"Apr 04, 2023",27795.27,28433.74,27681.30,28168.09,28168.09,15284538859
"Apr 03, 2023",28183.08,28475.62,27276.72,27790.22,27790.22,19556501327
"Apr 02, 2023",28462.85,28518.96,27884.09,28199.31,28199.31,12284641999
"Apr 01, 2023",28473.33,28802.46,28297.17,28411.04,28411.04,10876469901
"Mar 31, 2023",28032.26,28639.90,27583.71,28478.48,28478.48,19001327598
"Mar 30, 2023",28350.14,29159.90,27720.16,28033.56,28033.56,22435349951
"Mar 29, 2023",27267.03,28619.54,27259.66,28348.44,28348.44,20684945906
"Mar 28, 2023",27132.89,27460.72,26677.82,27268.13,27268.13,17783600385
"Mar 27, 2023",27994.07,28037.93,26606.69,27139.89,27139.89,18188895178
"Mar 26, 2023",27495.52,28178.14,27445.05,27994.33,27994.33,13878363192
"Mar 25, 2023",27487.34,27791.83,27196.23,27494.71,27494.71,13383005987
"Mar 24, 2023",28324.11,28388.44,27039.27,27493.29,27493.29,25980310960
"Mar 23, 2023",27301.96,28729.84,27183.36,28333.97,28333.97,24220433689
"Mar 23, 2023",27301.96,28729.84,27183.36,28333.97,28333.97,24220433689
"Mar 22, 2023",28158.72,28803.34,26760.00,27307.44,27307.44,33382021890
"Mar 21, 2023",27768.39,28439.56,27439.65,28175.82,28175.82,36102192830
"Mar 20, 2023",28041.60,28527.72,27242.88,27767.24,27767.24,44774027664
"Mar 19, 2023",26969.50,28440.56,26907.72,28038.68,28038.68,37769448859
"Mar 18, 2023",27448.12,27725.95,26636.26,26965.88,26965.88,35723036817
"Mar 17, 2023",25055.12,27787.81,24955.17,27423.93,27423.93,50730261335
"Mar 16, 2023",24373.46,25190.33,24225.11,25052.79,25052.79,33866061747
"Mar 15, 2023",24770.93,25240.62,23964.91,24375.96,24375.96,43655701450
"Mar 14, 2023",24201.77,26514.72,24081.18,24746.07,24746.07,54622230164
"Mar 13, 2023",22156.41,24550.84,21918.20,24197.53,24197.53,49466362688
"Mar 12, 2023",20628.03,22185.03,20448.81,22163.95,22163.95,29279035521
"Mar 11, 2023",20187.88,20792.53,20068.66,20632.41,20632.41,30180288176
"Mar 10, 2023",20367.00,20370.60,19628.25,20187.24,20187.24,39578257695
"Mar 09, 2023",21720.08,21802.72,20210.31,20363.02,20363.02,30364664171
"Mar 08, 2023",22216.44,22268.90,21708.05,21718.08,21718.08,22536575684
"Mar 07, 2023",22428.32,22527.42,22011.26,22219.77,22219.77,22765452204
"Mar 06, 2023",22436.82,22584.29,22331.31,22429.76,22429.76,17353192895
"Mar 05, 2023",22354.14,22613.69,22307.14,22435.51,22435.51,13317001733
"Mar 04, 2023",22362.92,22405.18,22198.98,22353.35,22353.35,11166012913
"Mar 03, 2023",23476.63,23479.35,22213.24,22362.68,22362.68,26062404610
"Mar 02, 2023",23647.02,23739.14,23245.02,23475.47,23475.47,20386398516
"Mar 01, 2023",23150.93,23880.63,23088.63,23646.55,23646.55,24662841200
"Feb 28, 2023",23521.84,23585.38,23077.65,23147.35,23147.35,20535363434
"Feb 27, 2023",23561.45,23857.89,23205.88,23522.87,23522.87,22660763494
"Feb 26, 2023",23174.15,23654.37,23084.22,23561.21,23561.21,16644534842
"Feb 25, 2023",23200.13,23210.21,22861.56,23175.38,23175.38,16100721565
"Feb 24, 2023",23946.01,24103.71,23007.07,23198.13,23198.13,26811744928
"Feb 23, 2023",24190.72,24572.09,23693.92,23947.49,23947.49,30476264066
"Feb 22, 2023",24437.42,24472.34,23644.32,24188.84,24188.84,30199996781
"Feb 21, 2023",24833.05,25126.85,24200.36,24436.35,24436.35,31252098714
"Feb 20, 2023",24336.62,25020.46,23927.91,24829.15,24829.15,28987376573
"Feb 19, 2023",24640.03,25093.05,24327.64,24327.64,24327.64,25555105670
"Feb 18, 2023",24565.30,24798.84,24468.37,24641.28,24641.28,19625427158
"Feb 17, 2023",23621.28,24924.04,23460.76,24565.60,24565.60,41358451255
"Feb 16, 2023",24307.35,25134.12,23602.52,23623.47,23623.47,39316664596
"Feb 15, 2023",22220.59,24307.84,22082.77,24307.84,24307.84,32483312909
"Feb 14, 2023",21801.82,22293.14,21632.39,22220.80,22220.80,26792596581
"Feb 13, 2023",21787.00,21898.41,21460.09,21808.10,21808.10,23918742607
"Feb 12, 2023",21870.90,22060.99,21682.83,21788.20,21788.20,17821046406
"Feb 11, 2023",21651.84,21891.41,21618.45,21870.88,21870.88,16356226232
"Feb 10, 2023",21819.01,21941.19,21539.39,21651.18,21651.18,27078406594
"Feb 09, 2023",22946.57,22996.44,21773.97,21819.04,21819.04,32572572185
"Feb 08, 2023",23263.42,23367.96,22731.10,22939.40,22939.40,25371367758
"Feb 07, 2023",22757.27,23310.97,22756.26,23264.29,23264.29,27187964471
"Feb 06, 2023",22954.02,23119.28,22692.03,22760.11,22760.11,23825006542
"Feb 05, 2023",23332.25,23423.44,22841.76,22955.67,22955.67,19564262605
"Feb 04, 2023",23446.32,23556.95,23291.79,23331.85,23331.85,15639298538
"Feb 03, 2023",23469.41,23678.10,23279.96,23449.32,23449.32,27083066007
"Feb 02, 2023",23720.82,24167.21,23468.60,23471.87,23471.87,32066936882
"Feb 01, 2023",23137.84,23764.54,22877.75,23723.77,23723.77,26683255504
